Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
372030,Katla,12580,Confirmed Eruption,,,,?,-5360,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12579,Confirmed Eruption,,,,?,-5460,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12578,Confirmed Eruption,,,,?,-5470,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12577,Confirmed Eruption,NE flank,,,?,-5550,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371050,Hengill,12522,Confirmed Eruption,Stangarhals,0,,,-5550,500,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
372030,Katla,12576,Confirmed Eruption,,,,?,-5560,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12575,Confirmed Eruption,,,,?,-5630,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12574,Confirmed Eruption,,,,?,-5710,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12573,Confirmed Eruption,,,,?,-5720,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12572,Confirmed Eruption,,,,?,-5730,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
373082,Heidarspordar,12931,Confirmed Eruption,Fjarborg,0,,?,-5750,,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
372030,Katla,12571,Confirmed Eruption,,,,?,-5850,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371080,Oddnyjarhnjukur-Langjokull,12544,Confirmed Eruption,Kjalhraun,2,?,?,-5850,,0,,0,,Tephrochronology,,,,,,,,64.85,-19.7
372070,Hekla,12690,Confirmed Eruption,Svinholdahraun,,,,-5850,2500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12570,Confirmed Eruption,,,,?,-5890,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12569,Confirmed Eruption,,,,?,-5960,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371030,Krysuvik-Trolladyngja,19920,Confirmed Eruption,Hrútagjár,0,,?,-6000,,0,,0,,Tephrochronology,,,,,,,,63.917,-22.067
370010,Snaefellsjokull,12470,Confirmed Eruption,,,,,-6050,1000,0,,0,,Tephrochronology,,,,,,,,64.8,-23.783
372030,Katla,12568,Confirmed Eruption,,,,?,-6050,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372010,Vestmannaeyjar,12551,Confirmed Eruption,"Alsey, Brandur, Sudurey, Hellisey",,,?,-6050,,0,,0,,Tephrochronology,,,,,,,,63.416,-20.266
372050,Torfajokull,12680,Confirmed Eruption,W side of caldera (Slettahraun),,,?,-6050,,0,,0,,Tephrochronology,,,,,,,,63.892,-19.122
373082,Heidarspordar,12930,Confirmed Eruption,Drangagrundahraun,0,,?,-6150,,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
372030,Katla,12567,Confirmed Eruption,,,,?,-6170,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12566,Confirmed Eruption,,,,?,-6200,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12565,Confirmed Eruption,,,,?,-6230,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371060,Grimsnes,12530,Confirmed Eruption,,,,?,-6250,,0,,0,,Radiocarbon (corrected),,,,,,,,64.05,-20.883
372030,Katla,12564,Confirmed Eruption,,,,?,-6380,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
373080,Krafla,12929,Confirmed Eruption,Kröfluhalshraun,,,?,-6500,,0,,0,,Tephrochronology,,,,,,,,65.715,-16.728
373030,Bardarbunga,12845,Confirmed Eruption,Veidivötn (Thjorsarhraun),,,,-6650,50,0,,0,,Radiocarbon (corrected),,,,,,,,64.633,-17.516
373080,Krafla,12928,Confirmed Eruption,Hveragil,2,?,?,-6800,,0,,0,,Tephrochronology,,,,,,,,65.715,-16.728
373090,Theistareykir,12955,Confirmed Eruption,Borgarhraun and other flows,0,,?,-6800,,0,,0,,Tephrochronology,,,,,,,,65.883,-16.967
373080,Krafla,12927,Confirmed Eruption,"Bondholshraun, Hveragil",2,?,?,-6850,,0,,0,,Tephrochronology,,,,,,,,65.715,-16.728
373082,Heidarspordar,12926,Confirmed Eruption,Hraunbunga,0,,?,-6950,,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
371070,Prestahnukur,12541,Confirmed Eruption,Geitlandshraun II,0,,?,-6950,,0,,0,,Radiocarbon (corrected),,,,,,,,64.583,-20.666
370030,Ljosufjoll,12479,Confirmed Eruption,Eldborg,2,,?,-7050,,0,,0,,Tephrochronology,,,,,,,,64.9,-22.483
373030,Bardarbunga,12844,Confirmed Eruption,"Veidivötn (Haahraun, Botnahraun)",,,,-7050,1000,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
373050,Kverkfjoll,12897,Confirmed Eruption,Arnadalsoldugjoska,,,?,-7050,,0,,0,,Tephrochronology,,,,,,,,64.653,-16.647
373030,Bardarbunga,12843,Confirmed Eruption,Trölladyngja (Bardarhalshraun),,,?,-7100,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
371050,Hengill,12521,Confirmed Eruption,Gjabakkahraun,0,,?,-7100,,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
371050,Hengill,12520,Confirmed Eruption,Brunnar/Skogarkot,,,?,-7300,,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
373082,Heidarspordar,12925,Confirmed Eruption,Heidarspordur,0,,,-7400,300,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
371050,Hengill,12519,Confirmed Eruption,Selvogsheidi,0,,?,-7550,,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
371070,Prestahnukur,12540,Confirmed Eruption,Skjaldbreidur,0,,,-7550,500,0,,0,,Radiocarbon (uncorrected),,,,,,,,64.583,-20.666
372010,Vestmannaeyjar,12550,Confirmed Eruption,NW Heimaey (Nordurklettar),3,?,?,-7550,,0,,0,,Tephrochronology,,,,,,,,63.416,-20.266
371060,Grimsnes,12529,Confirmed Eruption,Seydisholar,3,,?,-7750,,0,,0,,Radiocarbon (corrected),,,,,,,,64.05,-20.883
373082,Heidarspordar,12924,Confirmed Eruption,"Ludent, Namafjall-Krofluhals",,,?,-7850,,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
